,traffic,accident,incidents,suicide,murders,attempt-to-murder,car-accident,attack
90,Tesla drops radar sensors from cars. But how safe is camera-based autopilot system 'Tesla Vision'?,India tests Chinese sensitivities on Taiwan,"West Bengal CM’s remark on Cooch Behar incident compounded problem, say EC observers",No rigid standard for acceptance or rejection of dying declaration: SC,"ATS examined 11,000 IP addresses to trace the last call made to Hiran","So, who killed Aarushi? Theory of no outsider entry collapses",,9/11 stark reminder of continuing threat of terrorism: Ambassador Sandhu
91,"Tesla recalls nearly 6,000 U.S. vehicles over potentially loose bolts",Taiwan train crash kills 51 in deadliest rail tragedy in decades,Rename Model Code of Conduct as 'Modi Code of Conduct': Mamata Banerjee tells EC,Meghan complains to UK media regulator over Piers Morgan's comment on her interview,Mansukh Hiren death: Maharashtra ATS registers murder case against unidentified persons,Godhra Sabarmati Express burning case: Gujarat HC commutes death sentence to 11 convicts into life imprisonment,"Shabana Azmi back home from hospital, says indebted to Tina Ambani for sterling care at Kokilaben hospital",Afghan territory must not be used to carry out terror attacks against other countries: BRICS
92,Model 3's safety rating falls after Tesla drops radar sensors,Railway travellers can no longer use charging points at night,"Eastern Ladakh: India, China agree to maintain stability on ground; avoid any new incidents",Meghan opens up about having suicidal thoughts during time with royal family; says they worried about her son's dark skin,US to release report blaming Saudi prince Mohammed bin Salman in Jamal Khashoggi murder,NSUI hits rocky ground as ABVP moves Delhi High Court,"Javed Akhtar shares Shabana Azmi's health update, says she's 'recovering well'","Sitaram Yechury writes to PM Modi, alleges CPI(M) offices in Tripura 'attacked' by 'mobs of BJP men' on September 8"
93,SMS traffic back to nearly 1 billion per day under new system to check pesky messages,Your coffee could get dearer due to Suez Canal blockage,Assembly polls in Assam: Final phase records 82.28 percent voter’s turnout in 40 constituencies,"'MS Dhoni' actor Sandeep Nahar found dead, after leaving a 'suicide note' and video on Facebook",One-sided love affair behind murder of Unnao girls; UP police arrests two,"Supreme Court notice to centre, states on plea over safety of students",Not insuring your car keys can cost you heavily now,"US President, First Lady to travel all three sites of 9/11 terror attacks"
94,"We have readied the Cowin infrastructure to manage high traffic: RS Sharma, CEO, NHA","Indonesia bus plunges into a ravine, killing 26 pilgrims",Cachar district administration orders magisterial inquiry into incident of a vehicle carrying EVM overturning on April 1,Japan's suicides jump 16% in COVID-19 2nd wave after fall in 1st wave: Study,Shabnam to be first woman on gallows in independent India,"Indian psychiatrist killed in US mourned by colleagues, patients","Driver, helper of truck that hit Unnao rape survivor's car may undergo narco test: CBI","No major terror attack in India since Modi became PM, says Rajnath; calls it major achievement"
95,Mumbai airport Q1 traffic drops 46 per cent to 50.91 lakh,"Bihar: Janki Express collides with earth mover, 1 injured","Massive fire engulfs Indonesian oil refinery, company says incident won't disrupt supply","Notices against Arnab Goswami, Kangana Ranaut: Privileges panel gets more time",CBI Court accepts closure report in murder bid case against Chhota Rajan,Ryan official moves Supreme Court for transfer of case from Sohna court,5 Factors to consider while buying a new car in India,Biman Bangladesh pilot who suffered heart attack mid-air dies at Nagpur hospital
96,Domestic passenger traffic slips to 10-year low in pandemic-hit FY21,Boeing recommends airlines suspend use of some 777s after United incident,"15.5 lakh cyber security incidents in 2019, 2020: Govt tells Lok Sabha",Afghan officials say at least 34 killed in separate suicide bombings,Pakistan's Supreme Court orders immediate release of main accused in Daniel Pearl murder case,"Be vigilant on child sexual abuse: Maneka Gandhi to parents, schools",Autonomous drive: Going beyond cars,Pakistan's allegations against India on terror attack in Khyber Pakhtunkhwa 'lies': MEA
97,Delhi Traffic Police to undertake trial to make Delhi Gate intersection safer for commuters,70-yr-old driver who allegedly killed Nicki Minaj's father in a hit-and-run has been arrested,226 terrorists killed in Jammu and Kashmir since 2020; stone-pelting incidents reduced drastically: CRPF,"SC extends Arnab Goswami's interim bail, says judiciary should ensure criminal law is not weapon for selective harassment",Pakistan to join review proceedings of Supreme Court's acquittals in Daniel Pearl murder case,"Gurugram: 7-year-old boy killed in school, conductor arrested",Can you claim motor insurance before getting permanent registration number for your car?,"Taliban forcing women to marry terrorists, attacking civilians: Report"
98,,"Over 75% of poor households in India reported a decline in income as a result of road accident, says World Bank Report",Decline in terror incidents in Jammu and Kashmir in last three years but shelling from Pakistan increased: Government,Cop 'assault': Arnab Goswami's pre-arrest bail plea adjourned to November 23,"Tony Blinken dials Pak FM Qureshi, seeks accountability in Daniel Pearl's murder case",Donald Trump worked with Fox News on concocted DNC staffer story: Lawsuit,Reported fires threaten China's electric-car quest,Terrorists attack BSF convoy in Jammu and Kashmir's Kulgam; gunfight underway
99,IAF proposes closure of Jammu airport for civilian traffic next month,"After health and life, now a standardised personal accident insurance cover in the work by IRDAI",Mamata Banerjee should apologise to Nandigram people for false claims over March 10 incident: BJP MP,Bombay High Court refuses interim bail to Arnab Goswami in abetment to suicide case,"Congress MP Bittu assaulted at Singhu border, turban pulled off, he terms it 'murderous attack'",Two girls seek justice after murder of three family members in UP's Sitapur,Telugu TV actresses Bhargavi and Anusha pass away in road accident,Taliban seizes attack chopper ‘gifted by India’ to Afghanistan Air Force
100,Cargo traffic at 12 major ports falls for 10th month in January,"14 people, including seven children, dead as car collides with truck in UP's Pratapgarh district","Director Security, SP suspended, DM removed over Nandigram incident involving Mamata Banerjee",Arnab Goswami spends night at school designated jail's COVID-19 centre,"Famed music producer Phil Spector, who was convicted of murder, passes away at 81",Gujarat High Court convicts 7 for murder in post-Godhra riots,Tata Motors aims to build the safest cars in India,Union Minister Shantanu Thakur apprises PM Modi of attacks on Bangladesh temples
101,"BKU digs its heels in at Ghazipur border, more supporters pouring in","Netradyne, IISc, Zoomcar study shows AI can reduce road accidents","BJP leaders meet EC, demand independent inquiry into incident in Mamata Banerjee got injured","Republic TV's Editor in Chief Arnab Goswami held in suicide case, gets judicial custody till Nov 18","Mumbai teens start a baking venture amid lockdown, but a murder abruptly ended the entrepreneurship",Narendra Dabholkar murder case: CBI makes first arrest,"Fire near Aero India 2019 venue, over 100 cars gutted",A new phishing attack lurking to scam banking customers: Advisory
102,"Heavy police deployment at Tikri, Singhu borders","If one has multiple accident insurance covers, how can the claim be made?","Sabarimala incidents ""pained me"", says Kerala minister; Cong, BJP demands apology",Republic TV's Arnab Goswami arrested in two-year-old abetment to suicide case,Delhi riots: Court dismisses woman's bail plea in case related to murder of head constable,Sheena Bora murder: CBI to send Letters Rogatory to 3 countries,"Soon, your bad road manners may increase your car insurance premium","Amit Shah behind attacks on Abhishek, TMC activists in Tripura: Mamata Banerjee"
103,Automatic fare collection system using 'One Nation One Card' for Metro and BMTC bus users this year: Guv,"Five of family charred to death after fire breaks out in house in Salem, Tamil Nadu",Telangana clash: Amit Shah speaks to Kishan Reddy; enquires about incident at Bhainsa town,Earlier IO to face inquiry over closure of case against Arnab Goswami,Ryan school murder: CBI chargesheets four Haryana cops for falsely implicating an innocent,Court rejects bail plea of CPI-M leader in murder case,When not to file a car insurance claim,PM Modi condemns attack on St. Vincent and the Grenadines PM
104,Republic Day: Delhi Police issues traffic advisory for Full Dress Rehearsal,Speeding thrills but kills most on the capital's roads,"Why does SP's name get dragged into every incident of crime, asks UP CM Yogi Adityanath","Suicide bombing at Kabul education centre kills 24, students among the victims",US says it won't allow Daniel Pearl murder suspect to evade justice,Tejashwi Prasad Yaday meets road construction companies after engineer's murder,"Kannada actors Darshan, Devaraj, and Prajwal injured in road accident near Mysuru",Pakistan's Khyber Pakhtunkhwa assembly passes resolution condemning attack on Hindu temple
105,Traffic violations may soon be linked with motor insurance premium,"1.54 lakh people killed in road crashes in India in 2019, over-speeding reason in 60% cases: Data","Did not participate in violence, pacified crowd during Red Fort incident on Jan 26: Deep Sidhu tells Court","Body of former accountant manager of Cox & Kings found, police suspect a case of death by suicide",CBI should tell if Sushant's death was murder or suicide: Maharashtra HM Anil Deshmukh,"Karnataka in 2015: Kalburgi murder, Tipu protest kept the state on its toes",Uninsured vehicle owners should pay accident-compensation else vehicle to be auctioned: SC,"Afghan Air Force pilot killed in Kabul bombing, attack claimed by Taliban"
106,"Air traffic restored between Kashmir, rest of country",Kozhikode plane accident: External Affairs Ministry says its 24x7 helplines are open,Red Fort incident: Delhi court sends actor-activist Deep Sidhu to 14-day judicial custody,"SC terms 'frivolous' PIL on rising suicides in IITs, imposes Rs 10K fine on lawyer",Toronto witnesses protests over murder of prominent Baloch activist,Repeated attempts to contact Sheena went in vain: Siddartha Das tells CBI,"N Harikrishna, NTR's son & Andhra CM's brother-in-law, dies in road accident","20 people arrested, over 150 booked in Pakistan for attack on Hindu temple"
107,"Delhi prepares for New Year eve with traffic measures, police deployment, COVID-19 protocol",Andhra police arrest LG Polymers’ top executives in styrene gas leakage accident,Boeing recommends airlines suspend use of some 777s after United incident,"Many states, UTs not providing details of farmer suicides: MHA tells Rajya Sabha",UP government 'exposed' in Hathras rape-murder case: Akhilesh Yadav,Chandrabhan Sanap gets death in TCS techie rape-n-murder case,Newly-elected Karnataka Congress MLA Siddu Nyamagouda dies in road accident,America and G7 blame Iran for deadly attack on tanker off Oman
108,"Emptier roads mean faster traffic, really!","Endeavour to cut accidents, deaths on roads by 25% by March next year: Nitin Gadkari",Oil India Ltd cannot disown responsibility on fire incident in Assam's Baghjan oil well: NGT,"Nirav Modi faces suicide risk, politically biased trial in India, UK court told",CBI files charges of gangrape and murder against four accused in Hathras case,"Pakistan police closes murder case against PM Nawaz Sharif, family",Why you should not claim insurance for minor accidents,Attack targeting acting Afghan defense minister left eight dead
109,Delhi Traffic Police asks commuters to avoid closed borders amid farmers' protest,About 200 migrant workers lost lives in road accidents during lockdown: SaveLIFE Foundation,Uttarakhand glacier incident: Indian Army rushed for rescue operation,Average 381 suicides daily in India in 2019; 50 per cent cases from just 5 states: NCRB,SC grants anticipatory bail to ex-DGP of Punjab in murder case,BPF chief ​Hagrama Mohilary claims attempt to 'politically finish'him off,"Despite Uber-tragedy, Google's self-driving cars aren't slowing down","Big test for Ghani govt as Taliban launches simultaneous attacks on Kandahar, Herat"
110,Farmers' protest Day 22: Traffic disrupted on Delhi's key routes as thousands stay put at border points,Akhilesh Yadav calls Auraiya accident 'indescribable sadness'; offers financial aid,"Indian Army apprehends Chinese soldier in Ladakh, second such incident in three months",Doctor’s suicide: Mysuru protests may slow down Covid-19 testing in Karnataka,"'Delhi Chalo' march: Protesting farmers charged with attempt to murder, rioting in Haryana",Government attempting to denigrate what Jawaharlal Nehru did: Karan Singh,"PM's wife Jashodaben injured, her relative killed in accident",Centenarian sprinter Man Kaur succumbs to heart attack at 105
111,"Delhi: Singhu border, NH 44 closed for traffic as farmers' protest enters 12th day","MP: 8 migrant workers killed, nearly 50 hurt in road accident",UP government orders probe by EOW into Ghaziabad roof collapse incident,Karnataka CM Yediyurappa orders probe into health officer’s alleged suicide,"With whom BJP siding in Ballia murder case, asks Priyanka Gandhi",Sheena Bora murder case: Custody of all three accused extended,Here is what you need to know before buying a flood-damaged car,Unidentified drone flown over bridge handed over by Indian Navy to police
112,"Farmers' protest: Delhi Traffic Police suggests alternative routes to enter, exit city",LG Polymers says vapour leak caused accident at Vizag plant,Stone-pelting incidents in J&K dropped by 87.13% in 2020: DGP,CBI questions Ashok Gehlot's OSD in suicide case of Rajasthan police officer,Two IS 'Beatles' charged in United States for roles in murders of American hostages,Will fight any attempt to crush dissent: Rahul Gandhi on IIT row,Man leaves Indian-origin woman to die in blazing car in US,"Grenade attack in Jammu and Kashmir, three security personnel injured"
113,"Farmers in for long haul at Noida-Delhi border, Chilla route partially re-opened","Aurangabad train accident: Survivors raised alarm, but in vain",Wistron incident: Centre advises Karnataka to complete inquiry quickly,Sugarcane farmer's suicide triggers protest in UP,Pakistan's top court stays release of Daniel Pearl murder accused,"No Delhi MLAs face murder, rape charges","32 lakh new vehicles in Delhi in 7 years, but accidents dip 26 per cent",Ship tied to Israel billionaire reportedly attacked off Oman
114,"Farmers' protest: Delhi Traffic Police advises people to take alternate routes to enter, exit Haryana",1 killed as bus ferrying Odia migrants from Gujarat meets with accident,Section 144 clamped in Hailakandi district in Assam following Lalpani incident,Covid-19 lockdown: Migrant worker in Gujarat commits suicide,Alexei Navalny is victim of murder attempt using Novichok: Angela Merkel,Uproar in Odisha Assembly over murder of RTI activist,1 dead after car rams into pedestrians at Times Square,"BJP CMs, senior leaders lead counter-attack"
115,"In pedestrianised Chandni Chowk, plan afoot for smart traffic system",KSRTC Bus Accident: Toll rises to 20 in Tamil Nadu bus tragedy; survivors shell shocked,Steep rise in stubble burning incidents in Punjab this year,Sleuths warn of suicide bombings using J&K recruits,Record 212 environmental activists murdered in 2019: NGO,"Cong, JD(S) slam BJP in K'taka for attempting to lure MLAs","Hold car owners liable for juvenile driving, say states",Joe Biden weighs a response to ransomware attacks
116,COVID effect: Delhi airport to shut operations at T2 terminal from Monday midnight,Sidhu takes over as Punjab Cong chief; Amarinder says will work together for state's welfare,"Crime in UP: Yogi Adityanath raises Hathras in Assembly, tries to put Samajwadi Party in dock",Yashwant Sinha's Rashtra Manch demands restoration of statehood to Jammu and Kashmir by year-end,"India's first Covid case, an air crash, gold smuggling case; Kerala had a roller coaster 2020","Stay calm and don't panic, Infosys tells staff",Yamuna e-way speed limit to be reduced to 80kmph for 2 months,20 years of 9/11: America's war on terror in 10 charts
117,V O Chidambaranar Port Trust FY21 results: Operating income drops 6% to Rs 550 cr,"Amit Shah speaks to Maharashtra CM; says extending all help to deal with rains, landslides",Red Fort incident: Delhi court extends by 7 days police custody of Deep Sidhu,Opposition will keep fighting to raise people's issues including Pegasus matter: Congress,"Bengal will never bow its head before murderers of Mahatma Gandhi, says Mamata Banerjee",2015 NCRB Data - More crime in Delhi than all metros put together,BJP's Khushbu Sundar encounters mishap enroute to 'Vel Yatra',An Afghan reporter recalls 9/11's aftermath there
118,"Indian airlines risk consolidation, plane repossessions amid COVID-19 surge","DMK directs cadres not to put up hoardings, banners",Red Fort incident: Delhi court sends man to 7-day police custody,"MP government to print pictures of PM, CM on ration bags; Congress calls it 'personal branding' of BJP leaders","Absolute conspiracy, says BJP's Mukul Roy on charge sheet in TMC MLA murder case",Subramanian Swamy tries to raise Mahatma Gandhi murder case issue in Rajya Sabha,Modi rebukes Gujarat-based transporter for employing less drivers,"9/11 terrorists failed to shake belief in democracy, says UK PM Boris Johnson"
119,"Consider concerns of ATCs, HC tells medical panel looking into need for BA test on pilots","PM Modi, Amit Shah are my leaders; not using any pressure tactics, says Pankaja Munde","Over 17,000 FIRs lodged in 2020 for incidents of crime on trains: Railway minister",Court defers order on whether to put Shashi Tharoor on trial in his wife Sunanda's death case,TMC MLA murder case: BJP national VP Mukul Roy named in supplementary charge sheet,"26/11 case: Zaki-ur Rehman Lakhvi, others to be charged for abetment to murder",Uber announces launch of rider insurance at no extra cost to riders,"Biden marks 9/11 anniversary with tribute, call for unity"
120,"Airtel, Vi data traffic growth drives record tower adds for Indus in Dec quarter: CLSA",Around 57% of vehicles in India uninsured,"Adhir Ranjan Chowdhury alleges 'forces within govt' behind Red Fort incident, demands JPC probe",CID visits Suvendu Adhikari's home in connection with probe into ex-bodyguard's death,Over two-thirds of Pakistani women victim of abuse: Study,Dalit law student murder probe on right track: Kerala Home Minister Ramesh Chennithala,"Like father, like son: Ascent Meditech boss's younger one also loves cars, owns 15 Mercedes miniatures",9/11 Memorial site should remind us of collective resolve to fight terrorism: India
121,A traffic jam in the Suez Canal may delay Indian exports by 4-5 days,Irdai to ban credit-linked group health insurance,GameStop financial incident had the world hooked. Now a series on it is in the works,More than half of Indian Army personnel seem to be under severe stress: Study,Delhi riots: Court dismisses bail plea of man in Rahul Solanki murder case,"CPI(M) slams Congress-led UDF govt over rape, murder of dalit woman","Kevin Hart undergoes surgery after car crash, 'get well soon' tweets pour in from friends",View: Afghanistan likely to relapse into hotbed of international terrorism
122,Cargo traffic at 12 major ports falls for 11th month in February; down 7 pc in Apr-Feb,,Over 2.9 lakh cyber security incidents related to digital banking reported in 2020: Dhotre,"Popular Tamil TV actress Chitra found dead in hotel, suspected to have died by suicide","Adityanath govt, Centre 'murdering' constitution, democracy: Newly-appointed UP BSP chief","3rd techie killed in four days in Bihar, Lalu says attempt to discredit govt","Buy a car or subscribe to it via Zap, Revv? Here is a cost comparison","Two decades after 9/11, Saudi Arabia seeks softer image"
123,"Snowfall in Kashmir Valley, road, air links snapped",Intel and IIIT Hyderabad to develop tools to reduce road accidents at AI research centre,"Two years imprisonment, fine for online gambling in Tamil Nadu","'The Suicide Squad', 'The Matrix 4' & other Warner Bros 2021 films to release on HBO Max and in theatres",Former Karnataka minister Vinay Kulkarni arrested by CBI in murder case of BJP worker: Officials,Indrani’s soft corner for Vidhie and hard heart for Sheena led to murder plot: Chargesheet,The bill that is about to change your driving habits forever,"Alia Bhatt-starrer 'Gangubai Kathiawadi', SS Rajamouli's 'RRR' will release in theatres"
124,"Eighth round of talks between protesting farmers, government set to take place",An accident a week: Faulty OFB ammunition takes a heavy toll on the Indian Army,Unfortunate that Chauri Chaura martyrs were not given due place in pages of history: PM Modi,"Fee support, data cards and laptops: DU colleges step up efforts to help students following LSR suicide case",CBI picks up former Karnataka Minister Vinay Kulkarni for questioning in 2016 murder case,Indrani’s soft corner for Vidhie and hard heart for Sheena led to murder plot: Chargesheet,"Irdai proposes to increase third-party insurance premium for cars, two-wheelers","Bombs hurled at BJP MP Arjun Singh's residence in Bengal, probe on"
125,Security increased along Delhi borders ahead of farmers' tractor rally,"SC seeks reply from Centre, DGCA on plea for emergency systems at small airports to avoid accidents","Ghazipur border: Resolve grows stronger, farmers say movement not affected by Jan 26 incident","LSR student suicide: LSR announces fee rebate, committee to provide laptops on need basis","DU student's murder: Manish Sisodia meets victim's family, announces Rs 10 lakh ex-gratia",How fringe organisations like Hindu Sena and Sanatan Sanstha are attempting to set the agenda with BJP in power,Tata Motors JLR tests earn-as-you-drive smart cars,They were some of 9/11's biggest names. Where are they now?
126,"Firm on their demands, farmers brave cold, rains as talks with govt remain deadlocked","104 personnel of forces under MHA lost lives in 'accidents' in 2019; 2,006 in six years",Kisan Union leaders put the blame on the government and some unions for the Republic Day incident,"Justin Bieber opens up about being suicidal, says 'the pain was so consistent'",Hathras exists in Jharkhand as well: HC over 'shoddy' probe in rape-murder case,Yadav vs Yadav: How BJP is attempting to break Lalu's traditional vote bank,Indians are increasingly renting cars instead of buying. But does it really suit you?,"Taliban suicide bomber blows himself up in Pakistan; 3 killed, 20 injured"
127,"Nitish Kumar approves Rs 4,154 crore bypass road projects in urban Bihar","US scholar killed in Bulandshahr road mishap, family alleges eve-teasing",Will quit if Centre brings law allowing only one member of family in politics: Mamata nephew,"AIIMS forensic team says Sushant death a case of suicide, rules out murder","AIIMS forensic team says Sushant death a case of suicide, rules out murder",Sheena Bora murder: Indrani Mukerjea charged with poisoning son Mikhail,What are the inclusions and exclusions in a car insurance policy?,"Police lathi-charge on farmers in Karnal triggers protests in Punjab, opposition attack on Manohar Lal Khattar govt"
128,Poor visibility affects air traffic at Srinagar airport for second consecutive day,All issues red-flagged by DGCA in past addressed by Kozhikode airport operator: Aviation minister,Possible gas leak caused death of 4 workers at Rourkela Steel plant,Donald Trump’s former campaign head Brad Parscale hospitalised after suicide threat,"Hathras case: UP CM suspends SP, four other cops over Dalit woman's gang rape and murder",Sheena murder: Custody of accused extended till September 5,"From Jan 1, IRDAI allows unbundling of compulsory personal accident cover in motor policies","After Kabul airport attack, ISIS, Al Qaeda show it can still wreak havoc, say experts"
129,Farmers' protest: Several roads remain closed in Delhi,"Fire breaks out in Vijayawada hotel dedicated to treat COVID patients; kills 7, many trapped",PM Modi expresses grief over death of newborn babies in Maharashtra hospital fire,"Twitter India launches initiative to spread awareness, prevent suicide and self harm",Union minister Thawar Chand Gehlot refuses to speak on Hathras victim's cremation,"Mother Indrani Mukerjea made 3 attempts on my life, says Mikhail Bora",How to choose long-term car insurance policy,Russia to fast track arms supply to Central Asia after Kabul airport attack
130,"Snowfall in Kashmir Valley, road, air links snapped",Will take corrective action after receiving probe report: AAI chief on Kozhikode plane crash,Incident could have been avoided had woman not gone out in evening: NCW member on UP gangrape,"Telugu TV actress Sravani Kondapalli dies by suicide, family alleges harassment",Opposition holds protests against UP govt over Hathras gangrape & murder case,"December 16 gangrape, murder convicts held guilty in robbery case",Mohd Shami escapes with minor injuries in road accident near Dehradun,What is ISIS-K? Two terrorism experts on the group behind the deadly Kabul airport attack and its rivalry with the Taliban
131,Protesting farmers stay put in severe Delhi cold as talks with government remain deadlocked,"10 years ago, AI Express plane went up in flames after overshooting runway at Mangalore airport",It wasn't LBW call but 'get lost' comment from Aussies that made me walk out in 1981: Gavaskar,Males account for 81% accident deaths,Allahabad HC summons top UP govt officials in Hathras gang-rape & murder case,Bangladesh blogger murder probe makes headway; 2 arrested,IRDAI tells insurers to offer 3rd party motor cover online,Muscat-Dhaka flight makes emergency landing in Nagpur after pilot suffers heart attack mid-air
132,Cargo traffic at ports may decline by 10 pc this fiscal: Report,"Kozhikode plane crash: Residents ensured timely rescue at Karipur airport, saved lives",Karnataka industries minister says Wistron and Toyota incidents will not affect state’s investment prospects,IAS body asks Karnataka government to stand by officers doing Covid-19 duty,"Sathankulam custodial deaths: 9 TN police personnel charge-sheeted by CBI for murder, destruction of evidence",Murder case against ex-MLA: Court's verdict on August 20,"2017: Less accidents, more aftershocks for Railways","China shocked at Kabul suicide attacks, says will work with international community to cope with terrorist threats"
133,Akamai sees internet traffic growth easing to pre-covid levels in 2021,Road fatalities in Assam are on declining trend,"iPhone 12 production on track at Foxconn unit, Mini may be late post Wistron incident",Philippine Army chief: Two Islamic suicide bombers behind deadly attacks,"No Question Hour: Oppn calls it attempt to 'murder democracy', 'reduce Parliament to notice board'","Alleged ""attempt to mow down"" Dilip Pandey: AAP leaders meet Rajnath Singh  to hand over video",Bengaluru: Road mishaps rise but cops stay clueless,Three over ground LeT workers held for grenade attack on CRPF camp in Jammu and Kashmir's Kupwara
134,"Umbrella body of protesting farmer unions to hold meeting, respond to Centre's letter",Gas leak: SC grants 30 employees of LG Polymers access to its sealed plant at Vizag,"We are a peaceful state, Wistron violence is a one-off incident: BS Yediyurappa",Sushant Singh Rajput death case: ED grills Rhea Chakraborty for 8 hrs in money laundering case,Athletics fraternity shocked after former shot-putter Iqbal Singh charged with murder in US,"Sreesanth survived murder bid in Tihar jail, says brother-in-law",Heavy Delhi smog leads to multiple car pile-up on Yamuna Expressway,US braces for more ISIS attacks after 85 killed in Kabul airport carnage
135,Farmers protesting at Delhi borders remain resolute in seeking repeal of new agri laws,"UP accident underlines states receiving migrants should allow limited air, road, rail travel: Hardeep Singh Puri",Wistron factory incident may delay production of latest iPhone 12 series,Sushant S Rajput suicide: Sanjay Leela Bhansali records statement,UP: Six arrested in connection with journalist's murder; police officer suspended,Court convicts four persons in 1975 L N Mishra murder case,"Racer Ashwin Sundar, wife charred to death after their BMW car catches fire in Chennai",Kabul attacks reinforce need for world to stand unitedly against terrorism: India to UNSC
136,Domestic air passenger traffic grows 22% in November: ICRA,"2 SHOs suspended, Rs 2 lakh ex gratia for kin of migrant workers killed in UP road accident",Wistron factory incident neither reflection of India as country nor our culture: ICEA,View: Why Modi must not repeat Nehru’s mistakes on China,NHRC issues notice to UP govt over alleged gangrape & murder of minor girl in Lakhimpur Kheri,1975 L N Mishra murder case: Court judgement likely tomorrow,Union minister Manoj Sinha injured in road accident in UP,"Student raped,  her friend attacked near Chamundi Hills, a popular tourist spot, in Mysuru"
137,Ghazipur border closed from both sides as farmers block roads,"Vice President Venkaiah Naidu, PM Modi condole death of 24 migrant workers in UP road accident",Russian soldier kills three in air base shooting incident: News agencies,"A young and talented actor, gone too soon: Rahul Gandhi on Sushant Singh Rajput",BSP whip to MLAs: Priyanka Gandhi says it is clean chit to those who murdered democracy,1975 L N Mishra murder case: Court judgement likely tomorrow,How useful are add-on car insurance covers?,Ex-Union Minister seeks Centre's intervention in Sri Lankan Navy attack on TN fishermen
138,"Farmer union leaders to meet, discuss plan of action",Railways orders comprehensive probe into Aurangabad accident,Experienced information security incident that affected select internal IT systems: Lupin,"Suicide leading cause for over 300 lockdown deaths in India, says study",Sweden halts probe into 1986 murder of PM Olof Palme,Pakistani court orders filing of murder charges against Nawaz Sharif,Bhagat Singh's grandson died in road accident,"Pakistani army: Afghan soldiers flee attack, cross border"
139,Farmers start day-long 'relay' hunger strike,"PM 'sleeping at wheel', nation headed for accident: Rahul on govt's handling of economy, coronavirus",Main accused among three persons arrested in Ballia firing incident,Apathy of previous governments forced farmers to commit suicide: Yogi Adityanath,Is justice served by premature release of Jessica Lal’s killer?,Phoolan murder case: Sher Singh Rana seeks leniency,Indian-origin Sikh MLA Manmeet Bhullar dies in car accident in Canada,Cyber-attacks: what is hybrid warfare and why is it such a threat?
140,Karnataka CM BS Yediyurappa unveils Bengaluru Mission 2022 to revamp city,13 killed as SUV collides with car in Karnataka's Tumakuru,"NGO moves SC, seeks transfer of probe into Hathras incident to CBI","10k student suicides in ’18, highest in 10 yrs",Delhi LG allows release of Jessica Lal murder convict Manu Sharma,"Phoolan Devi murder case: Court convicts Sher Singh Rana, acquits 10 others",Actor Nathaniel Marston passes away at 40 after a car accident,Jammu military installations still on high alert post drone attack
141,Delhi roads to be redesigned on lines of European cities: CM Kejriwal,PM Modi condoles death of 26 people in road accident in Nashik,Opposition set to raise Hathras incident in the upcoming Bihar assembly elections,"10,349 farmers committed suicide in 2018: NCRB",2 priests murdered at a temple in UP’s Bulandshahr district,"Techie Murder: Muslims demand better security, city fears repercussions",Google Maps wants to reduce accidents involving trains and cars,IAF base attack: Probe points at involvement of ordnance factory across border
142,"Farmers' Stir: Several Delhi border points closed, police ask motorists to take alternative routes","Abhijit was an economist by accident, but is an ace cook, says mother Nirmala","UP bypolls: Hathras, Balrampur incidents to be highlights of campaign for elections on 7 seats",Another rape victim attempts suicide outside UP police office,Pakistan re-arrests four men acquitted in Daniel Pearl murder case,The chronology of December 16 gangrape and murder case,Google founder Sergey Brin defends accident records of self-driving cars,Two BJP members arrested in Kashmir for allegedly staging an attack for enhanced security
143,Security at Delhi borders increased after farmers' announcement to intensify stir,"4 hockey players killed, 3 injured in road accident in MP",Mayawati demands CBI or SC monitored probe into Hathras incident,Nirav Modi's threatens to commit suicide if extradited to India,Suspended AAP councillor Tahir Hussain arrested in IB officer murder case,Ankur Arora Murder Case: Movie Review,"Prashant Pandey, whistleblower behind Vyapam scam, still going strong after suspicious car accident",Kashmir attack: ‘I begged for our lives but they didn’t spare even my baby’
144,Traffic snarls in Delhi after city police close several borders in light of farmers' protest,Unnao accident case: CBI searches at multiple locations,BJP government taking to brutality to cover up Hathras incident: Rahul Gandhi,"Congress to oppose RCEP agreement, says it will be suicidal",Elusive conspirator in Gauri Lankesh murder arrested in Jharkhand,Ponty Shootout: Namdhari booked for murder,Dalal Street veteran Parag Parikh dies in car accident in United States,Terror attack at IAF station in Jammu: What we know so far
145,"Repeal farm laws, apologise to farmers: Ashok Gehlot to Centre",UP journalist death: Priyanka Gandhi writes to CM Adityanath; demands CBI probe,"No intrusions, major faceoffs in Eastern Command area since Ladakh crisis: Chauhan",Court defers order on whether to put Tharoor on trial in his wife Sunanda's death case,"Recent crimes in Uttar Pradesh could have been averted, says DGP in letter to state cops",Report on Indrani Mukerjea jail episode delayed; focus now on new angle,J&K Police forms SIT to probe killing of advocate Babar Qadri,New Zealand police kill ''terrorist'' after he stabs six people
